OP,OPCODE,INVALID_OP,SKIP_TO_RETIRE,REG_DEST_VALID,REG_SRC1_VALID,REG_SRC2_VALID,PRED_DEST_VALID,PRED_SRC1_VALID,PRED_SRC2_VALID,DEST_IS_SRC,PRED_SRC_REG,INS_TYPE[1:0],BR_INS,BR_TYPE[1:0],MEM_INS,MEM_TYPE,FUNC_UNIT[2:0],MUXA[1:0],MUXB[1:0],ALU_OP[2:0],COMPLEX_ALU_OP[2:0],PRED_OP[2:0],FLOAT_OP[2:0],LATENCY[3:0]
ITOF,0x33,0,0,1,1,0,0,0,0,0,0,[10],0,[00],0,0,[001],[11],[00],[000],[000],[000],[001],[1010]
FTOI,0x34,0,0,1,1,0,0,0,0,0,0,[10],0,[00],0,0,[001],[11],[00],[000],[000],[000],[010],[1010]
FADD,0x35,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[001],[11],[11],[000],[000],[000],[011],[0111]
FSUB,0x36,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[001],[11],[11],[000],[000],[000],[100],[0111]
FMUL,0x37,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[001],[11],[11],[000],[000],[000],[101],[1010]
FDIV,0x38,0,0,1,1,1,0,0,0,0,0,[10],0,[00],0,0,[001],[11],[11],[000],[000],[000],[110],[1100]
FNEG,0x39,0,0,1,1,0,0,0,0,0,0,[10],0,[00],0,0,[001],[11],[00],[000],[000],[000],[111],[0001]
UNUSED,0x3a,1,1,,,,,,,,,,,,,,,,,,,,,
UNUSED,0x3b,1,1,,,,,,,,,,,,,,,,,,,,,
UNUSED,0x3c,1,1,,,,,,,,,,,,,,,,,,,,,
UNUSED,0x3d,1,1,,,,,,,,,,,,,,,,,,,,,
UNUSED,0x3e,1,1,,,,,,,,,,,,,,,,,,,,,
UNUSED,0x3f,1,1,,,,,,,,,,,,,,,,,,,,,
